Airwallex AUD Transactions,,,,,,,,,,
For the period 1 January 2025 to 31 May 2025,,,,,,,,,,
,,,,,,,,,,
Date,Source,Description,Reference,Currency,Spend (Source),Receive (Source),Spend (AUD),Receive (AUD),,
1-Jan-25,Spend Money,Post,,AUD,0,43.3,0,43.3,,s
1-Jan-25,Spend Money,Facebook,ants Label Pty Ltd; Facebook; ************2794,AUD,0,"3,250.00",0,"3,250.00",,
1-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,NPP,AUD,"10,000.00",0,"10,000.00",0,,
2-Jan-25,Spend Money,United,,AUD,0,159.48,0,159.48,,
2-Jan-25,Spend Money,Google Ads,,AUD,0,"1,000.00",0,"1,000.00",,
2-Jan-25,Payable Payment,Payment: Raquel Fidalgo,231224,AUD,0,335.22,0,335.22,,
2-Jan-25,Payable Payment,Payment: Louis Vogler,10160,AUD,0,200,0,200,,
2-Jan-25,Spend Money,Canva,,AUD,0,36.84,0,36.84,,
2-Jan-25,Spend Money,Facebook,ants Label Pty Ltd; Facebook; ************2794,AUD,0,"3,250.00",0,"3,250.00",,
2-Jan-25,Spend Money,Google G Suite,ANTS LABEL PTY LTD; Google Subscription; ************2155,AUD,0,443.52,0,443.52,,
2-Jan-25,Spend Money,Google Ads,,AUD,0,"2,000.00",0,"2,000.00",,
2-Jan-25,Spend Money,Coles,,AUD,0,11,0,11,,
2-Jan-25,Payable Payment,Payment: Cristina De Freitas,1,AUD,0,297.81,0,297.81,,
2-Jan-25,Spend Money,Wesley,,AUD,0,163.23,0,163.23,,
3-Jan-25,Spend Money,Post,,AUD,0,76.3,0,76.3,,
3-Jan-25,Spend Money,Google Ads,,AUD,0,"1,000.00",0,"1,000.00",,
4-Jan-25,Spend Money,Google Ads,,AUD,0,"1,000.00",0,"1,000.00",,
5-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,Transfer; ants Label Pty Ltd,AUD,"10,000.00",0,"10,000.00",0,,
6-Jan-25,Spend Money,Unknown,,AUD,0,8,0,8,,
6-Jan-25,Payable Payment,Payment: Cullan Chapman,Cullan Wage,AUD,0,"1,287.97",0,"1,287.97",,
6-Jan-25,Spend Money,Optus,,AUD,0,141,0,141,,
6-Jan-25,Spend Money,Unknown,Rhyland Horthy Banks; Rhyland - Business Card; ************9233,AUD,0,18.14,0,18.14,,
7-Jan-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,038.45",0,"1,038.45",,
7-Jan-25,Spend Money,Quade,,AUD,0,45.52,0,45.52,,
7-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,Transfer; ants Label Pty Ltd,AUD,"5,000.00",0,"5,000.00",0,,
7-Jan-25,Spend Money,Lani,,AUD,0,60.96,0,60.96,,
8-Jan-25,Payable Payment,Payment: Yotpo,ZINVYUS00472834,AUD,0,"3,897.00",0,"3,897.00",,
8-Jan-25,Spend Money,Post,,AUD,0,250.05,0,250.05,,
8-Jan-25,Spend Money,Lani,,AUD,0,110,0,110,,
9-Jan-25,Spend Money,Officeworks,,AUD,0,263.42,0,263.42,,
9-Jan-25,Spend Money,Post,,AUD,0,80.55,0,80.55,,
9-Jan-25,Payable Payment,Payment: Kylee Hickmott,no1,AUD,0,"1,037.34",0,"1,037.34",,
10-Jan-25,Spend Money,Adobe,Cullan Chapman; Cullan Chapman; ************5520,AUD,0,114.59,0,114.59,,
11-Jan-25,Spend Money,Hi Vibe,,AUD,0,96,0,96,,
12-Jan-25,Spend Money,Unknown,Rhyland Horthy Banks; Rhyland - Business Card; ************9233,AUD,0,301.08,0,301.08,,
13-Jan-25,Payable Payment,Payment: Wesley Lewis,Wesley Wage,AUD,0,"1,730.76",0,"1,730.76",,
13-Jan-25,Payable Payment,Payment: Cullan Chapman,Cullan Wage,AUD,0,"1,274.57",0,"1,274.57",,
13-Jan-25,Payable Payment,Payment: Jonni,INV20231228,AUD,0,"1,063.79",0,"1,063.79",,
14-Jan-25,Spend Money,Mialsuite,,AUD,0,16.73,0,16.73,,
14-Jan-25,Spend Money,Post,,AUD,0,49.5,0,49.5,,
14-Jan-25,Spend Money,James Frizelle,,AUD,0,421,0,421,,
15-Jan-25,Spend Money,Quade,,AUD,0,31.5,0,31.5,,
16-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,Transfer; ants Label Pty Ltd,AUD,"5,000.00",0,"5,000.00",0,,
16-Jan-25,Bank Transfer,Bank Transfer from ants Label Pty Ltd to Airwallex AUD,Transfer; ants Label Pty Ltd,AUD,"37,000.00",0,"37,000.00",0,,
16-Jan-25,Spend Money,Unknown,"Invoice number: AWXAU2412059277, fees",AUD,0,15,0,15,,
